,Beer,Website
0,AleSmith Anvil ESB,https://www.beermenus.com/beers/6366-alesmith-anvil-esb
1,Avery The Beast Grand Cru Ale,https://www.beermenus.com/beers/3273-avery-the-beast-grand-cru-ale
2,Barrier Atypical IPA,https://www.beermenus.com/beers/81669-barrier-atypical-ipa
3,Bell's Two Hearted,https://www.beermenus.com/beers/3216-bell-s-two-hearted
4,Central Waters Brewer's Reserve Bourbon Barrel Scotch Ale,https://www.beermenus.com/beers/282607-central-waters-brewer-s-reserve-bourbon-barrel-scotch-ale
5,Central Waters Mud Puppy Porter,https://www.beermenus.com/beers/4792-central-waters-mud-puppy-porter
6,Cigar Florida Cracker White,https://www.beermenus.com/beers/45655-cigar-florida-cracker-white
7,Finch's Fascist Pig Ale,https://www.beermenus.com/beers/19068-finch-s-fascist-pig-ale
8,Founders All Day IPA,https://www.beermenus.com/beers/10313-founders-all-day-ipa
9,Founders Red's Rye IPA,https://www.beermenus.com/beers/47550-founders-red-s-rye-ipa
10,Golden Coast Mead Speakeasy,https://www.beermenus.com/beers/99999-golden-coast-mead-speakeasy
11,Golden Coast Savage Bois,https://www.beermenus.com/beers/95228-golden-coast-savage-bois
12,Grimm Rainbow Dome,https://www.beermenus.com/beers/97996-grimm-rainbow-dome
13,Guinness,https://www.beermenus.com/beers/22-guinness
14,Gun Hill Redcoat Resistance,https://www.beermenus.com/beers/92873-gun-hill-redcoat-resistance
15,Kuka Belgian Wit with Apricot & Plums,https://www.beermenus.com/beers/53147-kuka-belgian-wit-with-apricot-plums
16,McKenzie's Black Cherry,https://www.beermenus.com/beers/256754-mckenzie-s-black-cherry
17,McKenzie's Lazy Lemon Hard Cider,https://www.beermenus.com/beers/52393-mckenzie-s-lazy-lemon-hard-cider
18,Peekskill Simple Sour,https://www.beermenus.com/beers/26741-peekskill-simple-sour
19,Point Nude Beach,https://www.beermenus.com/beers/47626-point-nude-beach
20,Abomination Bro Beer,https://www.beermenus.com/beers/342799-abomination-bro-beer
21,Alewife Chaos Gose,https://www.beermenus.com/beers/360507-alewife-chaos-gose
22,Barrier Money IPA,https://www.beermenus.com/beers/15968-barrier-money-ipa
23,Boulevard Unfiltered Wheat,https://www.beermenus.com/beers/10258-boulevard-unfiltered-wheat
24,Citizen Cider bRose,https://www.beermenus.com/beers/105193-citizen-cider-brose
25,Crooked Stave Sour Rosé,https://www.beermenus.com/beers/246682-crooked-stave-sour-ros
26,Edmund's Oast Cereal for Dinner,https://www.beermenus.com/beers/347300-edmund-s-oast-cereal-for-dinner
27,Edmunds Oast Pales In Comparison,https://www.beermenus.com/beers/335216-edmunds-oast-pales-in-comparison
28,Fifth Hammer Bridging The Gap,https://www.beermenus.com/beers/366003-fifth-hammer-bridging-the-gap
29,Finback Brewery Breach The Surface,https://www.beermenus.com/beers/356538-finback-brewery-breach-the-surface
30,Grimm Maximum Happiness,https://www.beermenus.com/beers/312570-grimm-maximum-happiness
31,Gun Hill Mosaic Soft Serve,https://www.beermenus.com/beers/164322-gun-hill-mosaic-soft-serve
32,Hill Farmstead Shirley Mae: Sunrise Edition NITRO,https://www.beermenus.com/beers/215375-hill-farmstead-shirley-mae-sunrise-edition-nitro
33,Industrial Arts State Of The Art DDH Wheat Stout,https://www.beermenus.com/beers/353610-industrial-arts-state-of-the-art-ddh-wheat-stout
34,Lindners's Hazy N Juicy,https://www.beermenus.com/beers/345067-lindners-s-hazy-n-juicy
35,Maine Woods and Waters,https://www.beermenus.com/beers/255547-maine-woods-and-waters
36,New Day Meadery Re-Thinker,https://www.beermenus.com/beers/19897-new-day-meadery-re-thinker
37,Finback Double Sess Witbier,https://www.beermenus.com/beers/366963-finback-double-sess-witbier
38,Porterhouse Yippy IPA,https://www.beermenus.com/beers/314468-porterhouse-yippy-ipa
39,Lawson's Finest Liquids Double Sunshine IPA,https://www.beermenus.com/beers/12261-lawson-s-finest-liquids-double-sunshine-ipa
40,KCBC Morbid Hour,https://www.beermenus.com/beers/237374-kcbc-morbid-hour
41,Sixpoint Double Oaked Master Blend: Jameson Edition,https://www.beermenus.com/beers/356381-sixpoint-double-oaked-master-blend-jameson-edition
42,Hudson North Cider - Standard,https://www.beermenus.com/beers/356869-hudson-north-cider-standard
43,Keg & Lantern Dark Star,https://www.beermenus.com/beers/300886-keg-lantern-dark-star
44,Oxbow Farmhouse Pale Ale,https://www.beermenus.com/beers/12342-oxbow-farmhouse-pale-ale
45,Radeberger Pilsner,https://www.beermenus.com/beers/1-radeberger-pilsner
46,Meridian Hive Haven,https://www.beermenus.com/beers/75062-meridian-hive-haven
47,Carlow O'Hara's Irish Red,https://www.beermenus.com/beers/46229-carlow-o-hara-s-irish-red
48,Ayinger Bräuweisse,https://www.beermenus.com/beers/821-ayinger-br-uweisse
49,Sloop Pilsner,https://www.beermenus.com/beers/356810-sloop-pilsner
50,Carakale Red Sea-rious,https://www.beermenus.com/beers/339450-carakale-red-sea-rious
51,Freigeist Abraxxxas,https://www.beermenus.com/beers/18678-freigeist-abraxxxas
52,Blenderie Ommegang Super Kriek,https://www.beermenus.com/beers/357626-blenderie-ommegang-super-kriek
53,18th Street Pins and Needles,https://www.beermenus.com/beers/220577-18th-street-pins-and-needles
54,Kulmbacher Eisbock,https://www.beermenus.com/beers/155-kulmbacher-eisbock
55,Aecht Schlenkerla Lentbeer,https://www.beermenus.com/beers/360680-aecht-schlenkerla-lentbeer
56,Alewife Lupulin Vibrations: Azacca,https://www.beermenus.com/beers/360506-alewife-lupulin-vibrations-azacca
57,Fonta Flora Darwin's Forehead,https://www.beermenus.com/beers/58727-fonta-flora-darwin-s-forehead
