,Website,Rating
Bockor Cuvee des Jacobins Rouge,https://www.beermenus.com/beers/7336-bockor-cuvee-des-jacobins-rouge,4.36
Andechs Doppelbock Dunkel,https://www.beermenus.com/beers/33357-andechs-doppelbock-dunkel,4.31
Allagash Coolship Peche,https://www.beermenus.com/beers/344278-allagash-coolship-peche,4.21
American Solera Foederville,https://www.beermenus.com/beers/202770-american-solera-foederville,4.2
Boulevard Tank 7,https://www.beermenus.com/beers/256794-boulevard-tank-7,4.19
Allagash Curieux,https://www.beermenus.com/beers/1583-allagash-curieux,4.08
Avery Liliko'i Kepolo,https://www.beermenus.com/beers/110903-avery-liliko-i-kepolo,4.03
Barrier Our Sour : Bois & Berries,https://www.beermenus.com/beers/352590-barrier-our-sour-bois-berries,4.02
Ace Space Blood Orange Cider,https://www.beermenus.com/beers/108639-ace-space-blood-orange-cider,4.0
Barrier Kickin' Knowledge IPA,https://www.beermenus.com/beers/271432-barrier-kickin-knowledge-ipa,4.0
Crabbie's Alcoholic Ginger Beer,https://www.beermenus.com/beers/16888-crabbie-s-alcoholic-ginger-beer,3.95
Collective Arts Bourbon Barrel Aged Imperial Porter,https://www.beermenus.com/beers/241056-collective-arts-bourbon-barrel-aged-imperial-porter,3.94
Barrier Hoplantic,https://www.beermenus.com/beers/309444-barrier-hoplantic,3.93
Cidre de Normandie Ferme de Romilly Brut,https://www.beermenus.com/beers/213198-cidre-de-normandie-ferme-de-romilly-brut,3.9
Allagash White,https://www.beermenus.com/beers/859-allagash-white,3.9
Boulevard/Modern Times Restless Nights,https://www.beermenus.com/beers/337149-boulevard-modern-times-restless-nights,3.9
Bockor Kriek Des Jacobins,https://www.beermenus.com/beers/98167-bockor-kriek-des-jacobins,3.83
Barrier/Bierwax Dont Nothing Move But The Money,https://www.beermenus.com/beers/353725-barrier-bierwax-dont-nothing-move-but-the-money,3.82
Central Waters Satin Solitude Imperial Stout,https://www.beermenus.com/beers/36814-central-waters-satin-solitude-imperial-stout,3.8
American Solera Woof,https://www.beermenus.com/beers/348073-american-solera-woof,3.8
Ciderboys Grand Mimosa,https://www.beermenus.com/beers/65501-ciderboys-grand-mimosa,3.78
Anxo Cidery Hereford Gold,https://www.beermenus.com/beers/356183-anxo-cidery-hereford-gold,3.77
Athletic Brewing All Out Stout,https://www.beermenus.com/beers/294906-athletic-brewing-all-out-stout,3.76
Dark Horse Toonilla,https://www.beermenus.com/beers/148514-dark-horse-toonilla,3.73
Almanac Vibes Pilsner,https://www.beermenus.com/beers/273659-almanac-vibes-pilsner,3.73
Austin Eastciders Sangria Cider,https://www.beermenus.com/beers/350091-austin-eastciders-sangria-cider,3.72
Firestone Walker DBA,https://www.beermenus.com/beers/86646-firestone-walker-dba,3.7
Allagash I Believe In Love,https://www.beermenus.com/beers/336341-allagash-i-believe-in-love,3.7
Arrowood Farms Porch Beer,https://www.beermenus.com/beers/322350-arrowood-farms-porch-beer,3.7
Avery Rumpkin,https://www.beermenus.com/beers/9014-avery-rumpkin,3.6
Aval Cidre Artisanal,https://www.beermenus.com/beers/141912-aval-cidre-artisanal,3.6
Ace Joker Apple Cider,https://www.beermenus.com/beers/6689-ace-joker-apple-cider,3.51
Barrier Kickin' Knowledge Milkshake IPA,https://www.beermenus.com/beers/255062-barrier-kickin-knowledge-milkshake-ipa,3.5
Allagash Farm to Face,https://www.beermenus.com/beers/67225-allagash-farm-to-face,3.5
Bearded Iris Homestyle,https://www.beermenus.com/beers/133314-bearded-iris-homestyle,3.49
Duclaw Sweet Baby Jesus!,https://www.beermenus.com/beers/24861-duclaw-sweet-baby-jesus,3.47
Ace Perry Pear Hard Cider,https://www.beermenus.com/beers/202023-ace-perry-pear-hard-cider,3.42
Banded Charms and Hexes,https://www.beermenus.com/beers/284080-banded-charms-and-hexes,3.36
Bissel Brothers Lux,https://www.beermenus.com/beers/75515-bissel-brothers-lux,3.3
Harpoon IPA,https://www.beermenus.com/beers/2068-harpoon-ipa,3.15
Public Access Liquids There Is A Place,https://www.beermenus.com/beers/358574-public-access-liquids-there-is-a-place,0.0
Funkwerks Passion Fruit Provincial,https://www.beermenus.com/beers/310757-funkwerks-passion-fruit-provincial,0.0
Queens Blvd Of Death,https://www.beermenus.com/beers/354325-queens-blvd-of-death,0.0
Big Alice Table Series 3,https://www.beermenus.com/beers/368355-big-alice-table-series-3,0.0
Victory Classic,https://www.beermenus.com/beers/357779-victory-classic,0.0
Big Alice Lemongrass Kölsch,https://www.beermenus.com/beers/212043-big-alice-lemongrass-k-lsch,0.0
Brasserie Lefèbvre Blanche de Bruxelles,https://www.beermenus.com/beers/88904-brasserie-lef-bvre-blanche-de-bruxelles,0.0
